family,eps,kind,label,scale,n_feat,n_used,n_train,n_test,r2,r2_lo,r2_hi,alpha,is_ell_star
bimodal3d,0.02,baseline,fine_all,,5,500,350,150,0.2637097783463769,,,,
bimodal3d,0.02,baseline,coarse_fixed,,5,500,350,150,0.9280008531502962,,,,
bimodal3d,0.02,baseline,persistence,,1,500,350,150,0.9198210232409666,,,,
bimodal3d,0.02,baseline,bulk,,6,500,350,150,0.2481686463390791,,,,
bimodal3d,0.05,coarse_scale,phi_ell=0.025,0.025,15,500,350,150,0.4319493265511488,0.2490997298268367,0.5545829400637506,13.11133937421563,0
bimodal3d,0.05,coarse_scale,phi_ell=0.04,0.04,15,500,350,150,0.4442121994946926,0.25737567607513356,0.5689441025346227,13.11133937421563,0
bimodal3d,0.05,coarse_scale,phi_ell=0.06,0.06,15,500,350,150,0.4866080283588221,0.29558137888430375,0.6084442466070256,1.9684194472866112,0
bimodal3d,0.05,coarse_scale,phi_ell=0.09,0.09,15,500,350,150,0.5355643948631352,0.35929772638415525,0.646493140348187,0.001,0
bimodal3d,0.05,coarse_scale,phi_ell=0.14,0.14,15,500,350,150,0.5691672744986106,0.4170835347961118,0.6684365015110176,0.001,0
bimodal3d,0.05,coarse_scale,phi_ell=0.2,0.2,15,500,350,150,0.5678415833604273,0.42074751585640846,0.6677251967196368,0.017190722018585746,0
bimodal3d,0.05,coarse_scale,phi_ell=0.3,0.3,15,500,350,150,0.5743079799389645,0.43033238089446374,0.6753965605271252,0.7626985859023444,1
bimodal3d,0.05,baseline,fine_pos,,4,500,350,150,0.5366528194019857,,,,
bimodal3d,0.05,baseline,fine_kin,,1,500,350,150,0.003145774724594652,,,,
bimodal3d,0.05,baseline,fine_all,,5,500,350,150,0.5557588441773562,,,,
bimodal3d,0.05,baseline,coarse_fixed,,5,500,350,150,0.9658767609203383,,,,
bimodal3d,0.05,baseline,persistence,,1,500,350,150,0.9656012352665465,,,,
bimodal3d,0.05,baseline,bulk,,6,500,350,150,0.37267679023192735,,,,
bimodal3d,0.1,coarse_scale,phi_ell=0.025,0.025,15,500,350,150,0.3649408372275077,0.21289192605758644,0.47097473777052895,5.080218046913018,0
bimodal3d,0.1,coarse_scale,phi_ell=0.04,0.04,15,500,350,150,0.4018400452642341,0.26225453641647867,0.5058005997417163,5.080218046913018,0
bimodal3d,0.1,coarse_scale,phi_ell=0.06,0.06,15,500,350,150,0.456563643603316,0.3216496440889467,0.5532760989106325,1.9684194472866112,0
bimodal3d,0.1,coarse_scale,phi_ell=0.09,0.09,15,500,350,150,0.5395838802260007,0.4136867911565472,0.6231797894771653,0.11450475699382812,0
bimodal3d,0.1,coarse_scale,phi_ell=0.14,0.14,15,500,350,150,0.608917643744191,0.49871553437089655,0.6864056382654017,0.001,0
bimodal3d,0.1,coarse_scale,phi_ell=0.2,0.2,15,500,350,150,0.6320955918169457,0.5222981634905806,0.7166628818613415,0.017190722018585746,0
bimodal3d,0.1,coarse_scale,phi_ell=0.3,0.3,15,500,350,150,0.643125096106808,0.5341088528434114,0.7237278327917528,0.2955209235202888,1
bimodal3d,0.1,baseline,fine_pos,,4,500,350,150,0.6774006293447125,,,,
bimodal3d,0.1,baseline,fine_kin,,1,500,350,150,0.0006789209224790094,,,,
bimodal3d,0.1,baseline,fine_all,,5,500,350,150,0.6798240205131123,,,,
bimodal3d,0.1,baseline,coarse_fixed,,5,500,350,150,0.9866662512874249,,,,
bimodal3d,0.1,baseline,persistence,,1,500,350,150,0.9872181712257359,,,,
bimodal3d,0.1,baseline,bulk,,6,500,350,150,0.4635156835954156,,,,
