family,eps,target,label,n,metric,value,ci_lo,ci_hi
plummer3d,0.02,dS_late,Δentropy(late),500,R2_fine_pos,0.08977757687218335,,
plummer3d,0.02,dS_late,Δentropy(late),500,R2_fine_kin,0.2899179958416892,,
plummer3d,0.02,dS_late,Δentropy(late),500,R2_bulk,0.6298791652864499,,
plummer3d,0.02,dS_late,Δentropy(late),500,R2_phi_best,0.3393055710729379,,
plummer3d,0.02,dS_late,Δentropy(late),500,R2_psi_best,0.6433397554964412,,
plummer3d,0.02,dS_late,Δentropy(late),500,psi_beyond_bulk,0.032972205094865314,0.005370374348403706,0.06885435186185743
plummer3d,0.02,dS_late,Δentropy(late),500,psi_beyond_phi,0.3392681863917032,0.24080390864388548,0.45242879926111795
plummer3d,0.02,dS_late,Δentropy(late),500,psi_beyond_kin,0.3543401053598453,0.2756235336791797,0.42897684756007337
plummer3d,0.02,dS_late,Δentropy(late),500,ell_star_psi,0.3,,
plummer3d,0.02,dS_early,Δentropy(early),500,R2_fine_pos,0.08430695132557142,,
plummer3d,0.02,dS_early,Δentropy(early),500,R2_fine_kin,0.3621574839928805,,
plummer3d,0.02,dS_early,Δentropy(early),500,R2_bulk,0.4778251826112795,,
plummer3d,0.02,dS_early,Δentropy(early),500,R2_phi_best,0.1742503522023623,,
plummer3d,0.02,dS_early,Δentropy(early),500,R2_psi_best,0.5077103558617415,,
plummer3d,0.02,dS_early,Δentropy(early),500,psi_beyond_bulk,0.05093348540684173,-0.007814092878789546,0.11267835310580086
plummer3d,0.02,dS_early,Δentropy(early),500,psi_beyond_phi,0.3607781389679786,0.2524983107375995,0.4669623423686778
plummer3d,0.02,dS_early,Δentropy(early),500,psi_beyond_kin,0.14406815754505775,0.04848992686446922,0.24142704789962152
plummer3d,0.02,dS_early,Δentropy(early),500,ell_star_psi,0.14,,
plummer3d,0.02,dQ_late,ΔQ(late),500,R2_fine_pos,0.1668538532322007,,
plummer3d,0.02,dQ_late,ΔQ(late),500,R2_fine_kin,0.2135484106133968,,
plummer3d,0.02,dQ_late,ΔQ(late),500,R2_bulk,0.6319552384499133,,
plummer3d,0.02,dQ_late,ΔQ(late),500,R2_phi_best,0.2217429689191539,,
plummer3d,0.02,dQ_late,ΔQ(late),500,R2_psi_best,0.5293960396612769,,
plummer3d,0.02,dQ_late,ΔQ(late),500,psi_beyond_bulk,0.006697074641577427,-0.06519170397043833,0.07111739994399247
plummer3d,0.02,dQ_late,ΔQ(late),500,psi_beyond_phi,0.33326511374594237,0.17845346019923877,0.5022122868953303
plummer3d,0.02,dQ_late,ΔQ(late),500,psi_beyond_kin,0.3577619405768645,0.20297175159103958,0.4996616213550577
plummer3d,0.02,dQ_late,ΔQ(late),500,ell_star_psi,0.3,,
plummer3d,0.02,dQ_early,ΔQ(early),500,R2_fine_pos,0.39950083580316254,,
plummer3d,0.02,dQ_early,ΔQ(early),500,R2_fine_kin,0.21557750733563896,,
plummer3d,0.02,dQ_early,ΔQ(early),500,R2_bulk,0.8323661916884988,,
plummer3d,0.02,dQ_early,ΔQ(early),500,R2_phi_best,0.5530189820260484,,
plummer3d,0.02,dQ_early,ΔQ(early),500,R2_psi_best,0.7166689265980515,,
plummer3d,0.02,dQ_early,ΔQ(early),500,psi_beyond_bulk,0.05551355377034284,0.03264518134086691,0.08620815924060193
plummer3d,0.02,dQ_early,ΔQ(early),500,psi_beyond_phi,0.2862730585455817,0.2159456672153794,0.3828036679278756
plummer3d,0.02,dQ_early,ΔQ(early),500,psi_beyond_kin,0.5415812345315518,0.4203853488504707,0.6588539199170572
