seed,orig_beta1,orig_Lspec1,orig_C81,orig_Mcen1,rad_beta1,rad_Lspec1,rad_C81,rad_Mcen1,lmatch_beta1,lmatch_Lspec1,lmatch_C81,lmatch_Mcen1,sham_beta1,sham_Lspec1,sham_C81,sham_Mcen1
2021,0.47278644095832356,1.1740465339300492,26.941390991210938,0.013671875,0.6585112844180555,0.8627486359105826,24.341609954833984,0.025390625,0.5641151524690509,0.8966334687230473,25.150497436523438,0.0146484375,0.4843395012647512,1.1722390649794658,28.63863754272461,0.017578125
2023,0.53667392375193,1.1412439238705248,27.8701171875,0.0556640625,0.7002592770325595,0.8370295912559864,25.901962280273438,0.068359375,0.6146990108852006,0.8715920928936279,30.960189819335938,0.044921875,0.5534621653899257,1.1604983228761605,31.737533569335938,0.048828125
2025,0.5388101156405429,1.3644741478728335,27.848506927490234,0.0087890625,0.6615618022045752,1.0133292372352283,27.517574310302734,0.0185546875,0.6184301275707241,1.0459892460777926,22.16854476928711,0.0087890625,0.5223337640686294,1.381878957668635,29.950069427490234,0.00390625
2026,0.5532450223135527,1.3881911467997128,13.96004867553711,0.02734375,0.6966088683847493,1.0236090048636632,14.92751693725586,0.0224609375,0.650497086515972,1.0630540324833035,12.424129486083984,0.0126953125,0.5410688484626837,1.386868398174429,15.02907943725586,0.029296875
2028,0.5446145540635601,1.1991057096147442,29.87982177734375,0.025390625,0.6606222969881959,0.8841639314995342,33.11534118652344,0.0263671875,0.6280972187652782,0.9161329380160983,23.756099700927734,0.0166015625,0.5204552879956192,1.213375345718483,26.275497436523438,0.0361328125
2030,0.5740416302936172,1.2200262620205649,15.851009368896484,0.01953125,0.702079894898461,0.893576146987756,17.69183349609375,0.0576171875,0.6553960111605901,0.9320429361664719,15.19622802734375,0.033203125,0.5350699174793195,1.214665984162464,16.90743637084961,0.0224609375
2031,0.4734608331359712,1.1520833621578235,30.38399887084961,0.033203125,0.6532939821466832,0.8403077463959139,28.71575927734375,0.0634765625,0.5627683842177278,0.872052961022171,32.341552734375,0.0517578125,0.48192714210810583,1.1597402641238894,32.20599365234375,0.0322265625
2029,0.6248827147042111,1.3008022047935002,22.18423080444336,0.0244140625,0.7147334854463303,0.9453580806520664,29.73318099975586,0.033203125,0.6682578222524895,0.9812650284159835,17.837646484375,0.04296875,0.6122652097205021,1.306835082905926,21.670272827148438,0.0224609375
2027,0.5536382470995217,1.1788570501728712,20.098739624023438,0.0205078125,0.6857022105488395,0.8339504844965593,20.611568450927734,0.0185546875,0.6535188692149736,0.8610471252096203,16.87026596069336,0.0244140625,0.5775209028803084,1.1766556337309084,19.31640625,0.0068359375
2034,0.5998713286324286,1.3089659677708787,21.95577621459961,0.0087890625,0.7026702315043056,0.9758286358559577,17.29296875,0.0546875,0.6549392479526421,1.0147617758404457,16.282100677490234,0.0185546875,0.5932853576677208,1.3000574570705412,19.86593246459961,0.0048828125
