seed,beta0_orig,beta0_int,beta0_sham,beta1_orig,beta1_int,beta1_sham,sigr1_orig,sigr1_int,sigr1_sham,Q0_orig,Q0_int,L0_orig,L0_int
2026,0.04426679621892826,0.6666399194798481,0.03344314906913781,0.517400114804514,0.6491827414489797,0.49249449749873375,0.5308673504309945,0.5709739257559783,0.5246144290799664,2.2666586130651085,2.2664073199720667,0.06211232318357094,0.05409873095377349
2027,0.011454708711612582,0.6511763527928006,0.06888320113095991,0.46867507731863123,0.6091419601104202,0.508974497087704,0.5520728061594183,0.6115473572024064,0.5534836426886122,2.090094023095966,2.0899830884125405,0.02150553873488828,0.031828220960912756
2028,-0.01665714473716018,0.64087929619256,-0.05276404733187667,0.45806715918236074,0.5687768798889483,0.4112298490043069,0.5682531319466566,0.619373784774506,0.5515847532292687,1.9223702908275326,1.922095989519315,0.05125071259606341,0.03942431667640922
2029,-0.00502917398872782,0.6493775024476537,0.0040819234778018965,0.5724614605973977,0.6449904459928708,0.5517058586188632,0.5837281132167208,0.6239259292165573,0.5799253591260047,2.195496472679096,2.1946772218835426,0.1634282236331744,0.12487467345740981
2032,0.009190220964522933,0.6638925450910051,0.016859711461591598,0.5435051120244698,0.6366819247000687,0.5235913512738763,0.5337415450805996,0.5972614293186473,0.5312339171315011,2.2228361991290635,2.2227179796579133,0.08065218629853602,0.06860396989613665
2030,-0.053546482710610244,0.6332517542479302,-0.062288345549013524,0.5163347875600393,0.6355309423560854,0.45230809249711845,0.546348868818689,0.59405252389044,0.536736099220402,2.0685135622140933,2.06845566531478,0.07080071272910084,0.07169653791420723
2033,0.022922819421100082,0.6528056663334445,0.05400069338759239,0.44469454305631717,0.601925474073881,0.48747813714266686,0.5447939706387894,0.604924913106288,0.5553792377686169,1.9923703373091934,1.992061103188176,0.11958696215675128,0.08309057756845555
2031,-0.09140004085552111,0.6243195916731521,-0.0848483454078417,0.3889449750649183,0.5818730816875868,0.397261099818611,0.5553031195370611,0.6214782814044059,0.5552421810596934,1.8396112155066908,1.8393908862939168,0.05616678910106042,0.030286803512870348
2034,-0.07971866504706182,0.6226206013748365,-0.09311750568601496,0.49438403036075995,0.5969706105598575,0.48573991526195914,0.5420642547524277,0.5914667967847316,0.5371374242542208,2.164122494682847,2.163832334845255,0.1345613164669592,0.11090739317265746
2035,-0.09639388860198395,0.6165016153927996,-0.0726088504767255,0.44953408384307636,0.6481985458253812,0.42716356257929533,0.5501492469682786,0.6274966553971529,0.5438478874341717,1.9948568652297998,1.994773896120756,0.04888400669434007,0.04014269131702597
2036,-0.011100939309225621,0.650193894862877,-0.009421714733245157,0.41003819964270205,0.5583014333039232,0.4144924120337632,0.5425041963643062,0.6030013399594125,0.5502415905983901,1.9948731796957415,1.9948570551611577,0.06351588477606206,0.04082498934144561
2037,-0.05564333033370161,0.6196552205568042,-0.09821835079950803,0.5251190440033076,0.6259922774411939,0.5169009555727739,0.5568683100272442,0.6092732570678192,0.5484707338416732,2.0952012921531655,2.09501405339048,0.07439132959283817,0.07334202321339249
2041,-0.04993010711640333,0.635218221477292,-0.043336209075030885,0.5040715569609961,0.658943873786171,0.4954332009065827,0.5748703836950277,0.635162452221364,0.5636157858533772,2.14141772133096,2.1412899990071406,0.07758152811479983,0.07208063116016532
